Name,Action,Industry,Country,Grade
Toppan,Business as usual,Consumer Discretionary,Japan,F
Trumpf,Business as usual,Industrials,Germany,F
Tupperware,still operating and actively hiring in Russia,Consumer Discretionary,United States,F
Turkish Airlines,still flying to Russia,Industrials,Turkey,F
UniCredit,Still operating in Russia,Financials,Italy,F
Uzbekistan Airways,still flying to Russia,Industrials,Uzbekistan,F
Valeo,still operating in Russia,Consumer Discretionary,France,F
Valve,still providing services to Russia,Consumer Discretionary,United States,F
Vanke,business as usual,Real Estate,China,F
Veolia,still operating in Russia,Utilities,France,F
Vinci SA,still operating in Russia,Industrials,France,F
Visteon,Business as usual,Consumer Discretionary,United States,F
Vivo,still operating in Russia,Industrials,China,F
Wanhua Chemical Group,still operating in Russia,Materials,China,F
Worldline,Business as usual,Financials,France,F
Xibao Metallurgy Materials Group,"Building a refractory material plant in Lipetsk, Russia",Industrials,China,F
Yamaha,Still operating and advertising in Russia,Consumer Discretionary,Japan,F
Yazaki,Operating in Russia through a subsidiary,Consumer Discretionary,Japan,F
Zentis,Business as usual,Consumer Staples,Germany,F
Zepter,Still advertising and selling to Russia,Consumer Discretionary,Switzerland,F
Zimmer Biomet,continues sales in Russia,Health Care,United States,F
ZTE,business as usual,Information Technology,China,F
Zwack,Not disclosed publicly,Consumer Staples,Hungary,F
Aalberts,"continue operations on an unspecified ""lower"" level & postpone investments",Industrials,Netherlands,D
Abbott Laboratories,suspend non-essential business activity,Health Care,United States,D
Abbvie,"suspend aesthetics operations, pause new clinical trials",Health Care,United States,D
Accor,suspend new investments/development,Consumer Discretionary,France,D
Accumalux,"still operating plant in Togliatti, Russia",Consumer Discretionary,Luxembourg,D
Airbus,"suspend supply of parts and deliveries/servicing, t but continue substantial titanium purchases from Russia",Industrials,Netherlands,D
Akrapovič,still operating in Russia,Consumer Discretionary,Slovenia,D
Alcon,suspend new investments and new clinical trial enrollment in Russia,Health Care,Switzerland,D
AmerisourceBergen,"cease new business initiatives but continue existing clinical trials, and distributing health products",Health Care,United States,D
Andbank,investigate if Russian customers are subject to European sanctions,Financials,Andorra,D
Andritz,suspend unspecified new business in Russia for time being,Industrials,Austria,D
Anecoop,diverting sales away from Russia,Consumer Staples,Spain,D
Archer Daniels Midland (ADM),unspecified scaling down of non-essential operations,Consumer Staples,United States,D
AstraZeneca,halt new investments/new clinical trials,Health Care,United Kingdom,D
Aurubis AG,monitor situation and review structures of Russian business partners,Industrials,Germany,D
Bang & Bonsomer,suspend new investments but still operating in Russia,Materials,Finland,D
Barilla,all new investments and advertising activities on hold; limit Russia production to pasta and bread,Consumer Staples,Italy,D
Barry Callebaut,suspend capital investment,Consumer Staples,Switzerland,D
Bayer,stopping unspecified non-essential business activity,Health Care,Germany,D
Binance,"restrict Russian accounts with over €10,000",Financials,China,D
BlaBlaCar,Stopped new investment but stays in Russia,Information Technology,France,D
Boiron,suspend new investments & stop clinical trials,Health Care,France,D
Bolt,Remove all Russia-manufactured and Russian-branded goods,Information Technology,Estonia,D
Bosch,Suspend some shipments and plants but not all. Looking for buyer,Industrials,Germany,D
Calfrac Well Services,suspension of new investments in Russia,Energy,Canada,D
Campari,continue sales in Russia but suspend new investments,Consumer Staples,Italy,D
CANPACK,Stopped new investments,Materials,Poland,D
"CAPRI Holdings (Versace, Michael Kors, Jimmy Cho)",online orders unavailable but still advertising; no information about on-site sales,Consumer Discretionary,United States,D
Cargill,unspecified scaling down of non-essential operations,Consumer Staples,United States,D
Carlsberg,Dragging feet on exiting Russia,Consumer Staples,Denmark,D
Carmim,suspend some orders in backlog,Consumer Staples,Portugal,D
Carter's | Oshkosh,Stop all shipments of merchandise to Russia,Industrials,United States,D
Colgate-Palmolive,continue essential health and hygiene products,Consumer Staples,United States,D
Corticeira Amorim,commerical activity suspended,Materials,Portugal,D
Crèdit Andorrà,Investigate if Russian customers are subject to European sanctions,Financials,Andorra,D
Deceuninck,stop investments & cut links with other establishments,Industrials,Belgium,D
Delonghi,paused new shipments and  investments,Consumer Discretionary,Italy,D
DMK Group,suspend new investments/advertising but continue sales and plant operations in Russia,Consumer Staples,Germany,D
Domino's Pizza,suspend royalty payments & limit investment – restaurants remain open,Consumer Discretionary,United States,D
dōTERRA,suspend new investment in Russia,Consumer Staples,United States,D
DP Eurasia,Closed 29 Stores. Has 171 Stores in Russia,Consumer Staples,Netherlands,D
Dr. Theiss,suspend advertisement,Health Care,Germany,D
Ebara,Seeking optimal procurement,Industrials,Japan,D
Ecco,suspend new investments still operating in Russia,Consumer Discretionary,Denmark,D
Eesti Gaas,continues to import Russian gas but is looking for alternatives,Energy,Estonia,D
Ehrmann,continue sales in Russia but suspend new investments,Consumer Staples,Germany,D
Ekosem Agrar AG,restructuring finances,Consumer Staples,Germany,D
Eli Lilly,suspend new investments and clinical trials,Health Care,United States,D
Engie,no new investments,Utilities,France,D
ESL,ban people with ties to Russian government,NGO,Germany,D
FIDE,Allowing Russian play after suspend Russian & Belarussian teams from participation in tournaments,NGO,Switzerland,D
FM Global,stopped renewing and underwriting new reinsurance,Financials,United States,D
Focus Brands - Cinnabon,no new investments and expansion plans on hold,Industrials,United States,D
Forever Living Products,"Suspended online sales but continues to pay earned bonuses to russians and other ""friendly countries""",Consumer Discretionary,United States,D
Freelancer,Still operating in Russia; sanctioned payment methods disabled,Information Technology,Australia,D
Freudenberg Group,cease trading operations with Russia & Belarus; running plants in Russia,Industrials,Germany,D
Gedeon Richter,still operating in Russia,Health Care,Hungary,D
Geox,suspend new investments,Consumer Discretionary,Italy,D
Gilead Sciences,Stopped some business operations,Health Care,United States,D
Giorgio Armani,Suspended investments,Consumer Discretionary,Italy,D
GlaxoSmithKline,stopped advertising/new clinical trials in Russia,Health Care,United Kingdom,D
Greif,Canceled future investments in Russia,Materials,United States,D
Grohe,Suspended Shipments,Consumer Discretionary,Germany,D
GROUPE LIMAGRAIN/JACQUET-BROSSARD,continues flows to Russian and Ukrainian producers but suspends its project to build a seed factory in Russia,Industrials,France,D
Groupe Seb,"suspend new investments and ""sharply"" reduce activities in Russia",Consumer Discretionary,France,D
Gruma,halt new investments in Russia,Consumer Staples,Mexico,D
GXO Logistics,suspend new investments,Industrials,United States,D
HeidelbergCement,suspend all further investments,Materials,Germany,D
Heineken,promise to exit Russia completely but no still no announced divestiture,Consumer Staples,Netherlands,D
Hellenic Bank,maintain rep offices in Russia; observe all banking sanctions,Financials,Cyprus,D
Hellenic Petroleum,seeks new oil supplier to replace Russian oil,Energy,Greece,D
HERZ,no new business in Russia,Consumer Discretionary,Austria,D
Hilton,suspend new investments/close corporate office,Consumer Discretionary,United States,D
Hines,suspend new investments in Russia,Industrials,United States,D
HiPP,suspend investments in Russia but continue substantive operations,Consumer Staples,Switzerland,D
Hochland,suspend investments but continues sales and plant operations in Russia,Consumer Staples,Germany,D
HSBC,curtail Russian access to capital markets and limit new business,Financials,United Kingdom,D
Huawei,suspend new orders and furlough some staff,Information Technology,China,D
Hyatt,suspend investments and new developments,Consumer Discretionary,United States,D
ID Logistics,suspend new investment in Russia,Industrials,France,D
IFF,Suspended some production and supply of ingredients for products,Consumer Discretionary,United States,D
Infosys,Paying two subcontractors in Moscow,Information Technology,India,D
ING Bank,pause all new business,Financials,Netherlands,D
Ingram Micro,no new business in Russia,Information Technology,United States,D
Intermedia,move some employees out of Russia and ambiguous reduction of risk exposure to Russia,Communication Services,United States,D
International Baccalaureate Organization,still offers professional development services to Russian teachers,NGO,Netherlands,D
Intesa Sanpaolo,suspend new investments and curtail new financing,Financials,Italy,D
Ipsen,Suspended some promotional activities and no new client trials in Russia,Health Care,France,D
J. Neves & Fihos (JNF),paused distribution,Industrials,Portugal,D
Japan Tobacco,stopped new investments and marketing activities in Russia,Consumer Staples,Japan,D
JDE Peet's,largely still operating in Russia,Consumer Staples,Netherlands,D
Johnson & Johnson,pause patient enrollment in ongoing trials,Health Care,United States,D
KCA Deutag,suspend investments,Energy,United Kingdom,D
KDDI Corp,continue operations with local staff,Communication Services,Japan,D
Kemin,still operating in Russia; declined to commend,Health Care,United States,D
Kimberly-Clark,suspend new investments in Russia,Consumer Staples,United States,D
Knauf,still operating across 14 sites in Russia but suspend new investments,Materials,Germany,D
Kraft Heinz - JBS,stopped new investments and exports/imports from Russia,Consumer Staples,United States,D
Kubíček VHS,stop cooperation,Industrials,Czech Republic,D
Laboratoire Servier,suspending new investments but still operating in Russia,Health Care,France,D
Lenovo,reported to suspend operations in Russia,Information Technology,Hong Kong,D
Loulis Mills,search for alternative suppliers,Consumer Staples,Greece,D
Maire Tecnimonet,suspended commercial activities; managing existing backlog,Industrials,Italy,D
Manitowoc,"stopped taking new orders, still maintaining office in Russia",Industrials,United States,D
Marel,paused new projects,Consumer Staples,Iceland,D
Mars,Factories and sales operating in Russia,Consumer Staples,United States,D
Mavenir,continue operating in Russia but very limited curtailment of some activities,Information Technology,United States,D
Medtronic,Limited some activities,Health Care,United States,D
Melamin,making up for shortfall from sanctions,Materials,Slovenia,D
Menarini Group,stop advertisement and new investments; continue operating plant in Russia,Health Care,Italy,D
Merck Group,no further investments/clinical trial enrollment,Health Care,United States,D
Merck KGaA,still operating and actively hiring in Russia; restrict transactions,Health Care,Germany,D
Metro,stop all growth investments and reduce advertisements,Consumer Staples,Germany,D
Mocapor,paused exports,Industrials,Portugal,D
Mohawk Industries,suspend new investments in Russia,Consumer Discretionary,United States,D
Mondelez - Nabisco,scaling back unspecified non-essential activities in Russia,Consumer Staples,United States,D
National Oilwell Varco,suspend all new investments in Russia,Energy,United States,D
Nature's Sunshine,suspend shipments into Russia but not sales,Consumer Staples,United States,D
Naust Marine,stopped projects in Russia,Industrials,Iceland,D
Nestle,"halted non-essential imports/exports to Russia, stopped all advertising, and suspended all capital investment",Consumer Staples,Switzerland,D
Nippon Steel,searching to replace Russian supplies,Materials,Japan,D
Nor-Maali,stop further investments,Industrials,Finland,D
Novartis,"pause all new capital investments, media advertising and other promotions; pause new clinical trials and enrollment of new patients",Health Care,Switzerland,D
Novo Nordisk,suspend further marketing and clinical investment; pause new clinical trials and active enrollment,Health Care,Denmark,D
NTPC,Difficulty in transacting with Russian counterparties due to SWIFT issues etc,Utilities,India,D
OMV,no new Russian investments; doing strategic review of current Russian gas investments,Energy,Austria,D
Orion,suspend investments in Russia,Health Care,Finland,D
Palfinger,reduced production,Industrials,Austria,D
Pfizer,stopped new investments/clinical trials in Russia,Health Care,United States,D
Philips,online sales still available in Russia but suspend new marketing,Consumer Discretionary,Netherlands,D
Polpharma,stop all new investments and limit deliveries to essential drugs only,Health Care,Poland,D
Pottinger,limited deliveries to Russia sales subsidiary,Industrials,Austria,D
Procter & Gamble (P&G),"Still operating, despite statement",Consumer Staples,United States,D
Red Bull,suspend new investments,Consumer Staples,Austria,D
Remondis,still operating in Russia; not disclosed publicly,Industrials,Germany,D
RHI Magnesita,selling down existing stocks in Russia,Industrials,Austria,D
Ritter Sport,halt new investments and advertising,Consumer Staples,Germany,D
Roche,pause new site activation and patient enrollment; continue operating,Health Care,Switzerland,D
Rockwool,cancel new investments in Russia,Industrials,Denmark,D
Saipem,halt new investments,Industrials,Italy,D
Sanofi,"halting advertising and promotional spending and new recruitment of patients clinical trials, continue medical supply and treating current patients",Health Care,France,D
Sarens,new projects cancelled,Industrials,Belgium,D
SC Johnson,stopped new investments and scaled back unspecified operations,Consumer Staples,United States,D
Schlumberger,stopped new investment and technology deployment to our Russia operations,Energy,United States,D
Schmitz Cargobull,Stopped all investments,Industrials,Germany,D
SCHOTT,suspend investments in Russia,Materials,Germany,D
SGS,Suspended business development and investment activities,Industrials,Switzerland,D
Signify,suspend only exports to Russia and investments and new business,Consumer Discretionary,Netherlands,D
Smith & Nephew PLC,Stopped new investments,Health Care,United Kingdom,D
Snap,halt advertisement,Communication Services,United States,D
Soudal,cancel investments in a brand new factory in Russia; but maintain other activities,Materials,Belgium,D
SRV,outline steps to stop procurement of building materials from Russia,Materials,Finland,D
Standard Chartered,Restricts Russian transactions,Financials,United Kingdom,D
Subway,suspend new investments/advertising,Consumer Staples,United States,D
Sumitomo Mitsui Financial,continue operations with local staff,Financials,Japan,D
Syneos Health,Patient recruitment on hold and no new clinical trial in Russia,Health Care,United States,D
Takeda,"Suspended new investments, advertising and promotion & no new clinical trials and stopped enrollment of new Russian patients in ongoing clinical trials.",Health Care,Japan,D
TMF Group,suspend new contracts; continue supporting current customers,Industrials,Netherlands,D
TOM Tailor,no official statement; online sales suspended but advertising continues,Consumer Discretionary,Germany,D
Toshiba Group,stop all new investments in Russia,Information Technology,Japan,D
Toshulin,Stopped cooperation,Industrials,Czech Republic,D
Total Energies,no longer will provide capital for new projects in Russia/stop purchasing Russian oil; withdraw from Arctic LNG 2 project,Energy,France,D
Toyota Tsusho,Stopped exports and imports of auto parts to and from Russia,Materials,Japan,D
TZMO,stopped new investments,Consumer Staples,Poland,D
UCB,Stopped enrolling new patients and not starting new sites or clinical trials in Russia,Health Care,Belgium,D
Unilever,stopped imports/exports and stopped all advertising and investments,Consumer Staples,United Kingdom,D
UnionPay,Suspended issuing bank cards to Russian Banks,Financials,China,D
Viatris,Suspended some operations,Health Care,United States,D
Vimeo,not accept new customers from Russia,Communication Services,United States,D
Weatherford International,suspend new investments/deployments in Russia,Energy,United States,D
Welltec,suspend all new investments in Russia,Energy,Denmark,D
Xiaomi,Reported to suspend operations in Russia,Information Technology,China,D
Yokogawa,No new projects in Russia,Information Technology,Japan,D
Yokohama,Decision to renew production in Russia despite previous announcements to halt production,Consumer Discretionary,Japan,D
Young Living,Suspend new investments in Russia,Consumer Staples,United States,D
Yves Rocher,Suspend new investments/development,Consumer Staples,France,D
Activision Blizzard,suspend new sales of and in our games in Russia,Communication Services,United States,C
Adobe,suspend all new sales in Russia and Belarus; current services continue,Information Technology,United States,C
AGCO,stop sale of new machines to Russia,Industrials,United States,C
AkzoNobel,suspend new investments in Russia; end Aerospace work,Materials,Netherlands,C
Allianz,meaningfully reduce exposure to Russia,Financials,Germany,C
Alphabet,withdraw all operations in Moscow; stop taking new customers; stop ads,Communication Services,United States,C
Amadeus IT Group,suspend partnership with Aeroflot,Information Technology,Spain,C
Amgen,suspend all non-essential business activities; keep delivering some medicines,Health Care,United States,C
ArcelorMittal,Resumed steel supplies to Russia,Materials,Luxembourg,C
ASBIS,amends contracts following new sanctions,Information Technology,Cyprus,C
Bacardi,paused exports to Russia but not domestic operations,Consumer Staples,Bermuda,C
Bank of Cyprus,maintain loan book; observe banking sanctions,Financials,Cyprus,C
Beiersdorf,maintain skin and bodycare products; stop other products,Consumer Staples,Germany,C
Bekaert,scale back business in Russia,Industrials,Belgium,C
Black Red White,"divesting from Russian subsidiary, still has a significant stake in a company operating in Belarus, which also suspended Russian exports",Consumer Discretionary,Poland,C
BNY Mellon,suspend new business activity and investments; continue cooperation with current clients,Financials,United States,C
Boehringer Ingelheim,scale back to just supplying medicine,Health Care,Germany,C
Boston Scientific,suspend all new investment and non-essential activity,Health Care,United States,C
